description,disease
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"vomiting, dehydration, abdominal cramps",Gastroenteritis
"frequent urge to urinate, cloudy urine",UTI
"difficulty swallowing, chest pain, heartburn after meals",GERD
"skin hives, nasal congestion, runny nose",Allergy
"visual disturbances, throbbing headache, nausea",Migraine
"headache, weakness and fatigue",Typhoid
"nausea, sensitivity to light",Migraine
"flaky patches, rash, burning sensation, itchy skin with redness",Fungal Infection
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"loss of appetite, headache, weakness and fatigue",Typhoid
"nausea, high fever with chills, body aches, sweating",Malaria
"frequent urge to urinate, painful urination, lower abdominal pain",UTI
"heartburn after meals, chest pain",GERD
"vomiting, diarrhea",Gastroenteritis
"cloudy urine, painful urination, frequent urge to urinate, lower abdominal pain",UTI
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"high fever with chills, nausea, sweating",Malaria
"sneezing and itchy eyes, skin hives",Allergy
"difficulty swallowing, heartburn after meals",GERD
"painful urination, cloudy urine, frequent urge to urinate",UTI
"visual disturbances, sensitivity to light, nausea",Migraine
"fever for 5 days, weakness and fatigue, loss of appetite",Typhoid
"high fever with chills, nausea, body aches, sweating",Malaria
"sore throat, sneezing and runny nose, nasal congestion",Common Cold
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"cough, sneezing and runny nose, nasal congestion",Common Cold
"throbbing headache, nausea",Migraine
"sneezing and itchy eyes, skin hives, runny nose",Allergy
"heartburn after meals, difficulty swallowing",GERD
"lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"acid reflux, heartburn after meals, difficulty swallowing, chest pain",GERD
"painful urination, frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"flaky patches, rash, itchy skin with redness",Fungal Infection
"abdominal cramps, dehydration",Gastroenteritis
"sore throat, sneezing and runny nose",Common Cold
"fever and tiredness, itchy blister rash",Chickenpox
"chest pain, acid reflux",GERD
"nausea, throbbing headache",Migraine
"diarrhea, abdominal cramps, dehydration",Gastroenteritis
"chest pain, acid reflux",GERD
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"flaky patches, rash",Fungal Infection
"diarrhea, abdominal cramps, dehydration",Gastroenteritis
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"nasal congestion, sneezing and itchy eyes, skin hives, runny nose",Allergy
"sweating, high fever with chills, nausea",Malaria
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"headache, fever for 5 days",Typhoid
"difficulty swallowing, chest pain",GERD
"sneezing and itchy eyes, nasal congestion",Allergy
"visual disturbances, nausea, throbbing headache, sensitivity to light",Migraine
"acid reflux, heartburn after meals, difficulty swallowing",GERD
"fever and tiredness, headache, loss of appetite, itchy blister rash",Chickenpox
"diarrhea, vomiting, dehydration",Gastroenteritis
"flaky patches, burning sensation",Fungal Infection
"sweating, body aches",Malaria
"lower abdominal pain, cloudy urine",UTI
"headache, weakness and fatigue, loss of appetite, fever for 3 days",Typhoid
"sneezing and runny nose, cough, sore throat, nasal congestion",Common Cold
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"headache, fever and tiredness, loss of appetite",Chickenpox
"vomiting, dehydration, abdominal cramps",Gastroenteritis
"body aches, high fever with chills, nausea",Malaria
"itchy blister rash, loss of appetite, headache, fever and tiredness",Chickenpox
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"acid reflux, difficulty swallowing, heartburn after meals, chest pain",GERD
"headache, loss of appetite",Chickenpox
"flaky patches, burning sensation",Fungal Infection
"loss of appetite, fever and tiredness, headache, itchy blister rash",Chickenpox
"sensitivity to light, nausea, visual disturbances",Migraine
"loss of appetite, headache",Typhoid
"nasal congestion, skin hives",Allergy
"heartburn after meals, acid reflux, chest pain, difficulty swallowing",GERD
"rash, burning sensation",Fungal Infection
"loss of appetite, fever for 2 days",Typhoid
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"itchy blister rash, headache",Chickenpox
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
"nasal congestion, sore throat",Common Cold
"difficulty swallowing, chest pain, heartburn after meals",GERD
"sore throat, sneezing and runny nose, nasal congestion",Common Cold
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"headache, fever for 5 days, weakness and fatigue, loss of appetite",Typhoid
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"flaky patches, itchy skin with redness, rash, burning sensation",Fungal Infection
"sensitivity to light, throbbing headache, visual disturbances, nausea",Migraine
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"chest pain, heartburn after meals, difficulty swallowing",GERD
"abdominal cramps, dehydration, vomiting, diarrhea",Gastroenteritis
"difficulty swallowing, chest pain",GERD
"sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
"sore throat, cough, sneezing and runny nose, nasal congestion",Common Cold
"headache, weakness and fatigue, fever for 1 days",Typhoid
"abdominal cramps, diarrhea",Gastroenteritis
"itchy blister rash, fever and tiredness, headache, loss of appetite",Chickenpox
"frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"heartburn after meals, acid reflux, chest pain",GERD
"dehydration, diarrhea",Gastroenteritis
"loss of appetite, headache, fever for 1 days, weakness and fatigue",Typhoid
"throbbing headache, nausea, sensitivity to light",Migraine
"throbbing headache, visual disturbances, sensitivity to light, nausea",Migraine
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"abdominal cramps, dehydration",Gastroenteritis
"throbbing headache, sensitivity to light",Migraine
"weakness and fatigue, fever for 2 days, loss of appetite, headache",Typhoid
"body aches, high fever with chills",Malaria
"painful urination, frequent urge to urinate",UTI
"nausea, high fever with chills",Malaria
"frequent urge to urinate, cloudy urine",UTI
"burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"loss of appetite, fever for 2 days, headache, weakness and fatigue",Typhoid
"flaky patches, burning sensation, rash",Fungal Infection
"sneezing and itchy eyes, skin hives, runny nose",Allergy
"diarrhea, dehydration",Gastroenteritis
"abdominal cramps, diarrhea, vomiting",Gastroenteritis
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"loss of appetite, weakness and fatigue, headache, fever for 4 days",Typhoid
"cough, nasal congestion, sore throat",Common Cold
"sore throat, sneezing and runny nose, cough",Common Cold
"nasal congestion, sneezing and itchy eyes, runny nose, skin hives",Allergy
"painful urination, cloudy urine",UTI
"heartburn after meals, acid reflux, difficulty swallowing",GERD
"weakness and fatigue, loss of appetite, fever for 1 days, headache",Typhoid
"nausea, throbbing headache, visual disturbances",Migraine
"painful urination, frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"acid reflux, chest pain, difficulty swallowing",GERD
"chest pain, heartburn after meals, acid reflux",GERD
"sneezing and runny nose, sore throat",Common Cold
"body aches, sweating, nausea",Malaria
"rash, burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"throbbing headache, nausea",Migraine
"itchy skin with redness, burning sensation",Fungal Infection
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"cloudy urine, lower abdominal pain",UTI
"body aches, high fever with chills, nausea",Malaria
"fever for 2 days, weakness and fatigue, loss of appetite",Typhoid
"painful urination, lower abdominal pain, cloudy urine",UTI
"cloudy urine, lower abdominal pain, painful urination",UTI
"itchy blister rash, loss of appetite",Chickenpox
"flaky patches, rash, itchy skin with redness, burning sensation",Fungal Infection
"flaky patches, itchy skin with redness, burning sensation, rash",Fungal Infection
"difficulty swallowing, acid reflux, heartburn after meals",GERD
"nausea, body aches, sweating",Malaria
"painful urination, cloudy urine, frequent urge to urinate",UTI
"fever and tiredness, headache, loss of appetite",Chickenpox
"chest pain, difficulty swallowing",GERD
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"fever for 3 days, loss of appetite, weakness and fatigue",Typhoid
"flaky patches, rash, itchy skin with redness, burning sensation",Fungal Infection
"high fever with chills, nausea, body aches",Malaria
"itchy blister rash, fever and tiredness, loss of appetite, headache",Chickenpox
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"headache, weakness and fatigue",Typhoid
"weakness and fatigue, loss of appetite, fever for 1 days",Typhoid
"weakness and fatigue, headache",Typhoid
"high fever with chills, sweating, nausea, body aches",Malaria
"sore throat, nasal congestion",Common Cold
"loss of appetite, headache",Chickenpox
"abdominal cramps, vomiting, dehydration, diarrhea",Gastroenteritis
"chest pain, difficulty swallowing, acid reflux",GERD
"sweating, body aches, nausea, high fever with chills",Malaria
"cough, sore throat, sneezing and runny nose",Common Cold
"nausea, throbbing headache, sensitivity to light, visual disturbances",Migraine
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"sore throat, nasal congestion",Common Cold
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"difficulty swallowing, heartburn after meals, acid reflux, chest pain",GERD
"skin hives, runny nose",Allergy
"cough, nasal congestion, sneezing and runny nose",Common Cold
"diarrhea, dehydration, vomiting, abdominal cramps",Gastroenteritis
"nausea, visual disturbances",Migraine
"chest pain, heartburn after meals",GERD
"high fever with chills, sweating",Malaria
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"nausea, body aches, sweating, high fever with chills",Malaria
"sneezing and itchy eyes, nasal congestion, skin hives, runny nose",Allergy
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"high fever with chills, sweating",Malaria
"flaky patches, itchy skin with redness, burning sensation, rash",Fungal Infection
"loss of appetite, headache, itchy blister rash",Chickenpox
"burning sensation, flaky patches, rash, itchy skin with redness",Fungal Infection
"sneezing and itchy eyes, runny nose",Allergy
"fever and tiredness, headache",Chickenpox
"heartburn after meals, acid reflux, chest pain",GERD
"burning sensation, itchy skin with redness, rash",Fungal Infection
"lower abdominal pain, frequent urge to urinate",UTI
"rash, burning sensation, flaky patches, itchy skin with redness",Fungal Infection
"chest pain, heartburn after meals",GERD
"loss of appetite, weakness and fatigue",Typhoid
"nausea, sweating, high fever with chills",Malaria
"sensitivity to light, nausea, throbbing headache",Migraine
"headache, fever and tiredness",Chickenpox
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"difficulty swallowing, chest pain, acid reflux",GERD
"high fever with chills, nausea, body aches",Malaria
"runny nose, sneezing and itchy eyes, skin hives",Allergy
"flaky patches, burning sensation",Fungal Infection
"rash, burning sensation, itchy skin with redness",Fungal Infection
"headache, loss of appetite, itchy blister rash",Chickenpox
"dehydration, diarrhea",Gastroenteritis
"vomiting, abdominal cramps, diarrhea, dehydration",Gastroenteritis
"burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"high fever with chills, nausea",Malaria
"sweating, high fever with chills",Malaria
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"vomiting, diarrhea, abdominal cramps, dehydration",Gastroenteritis
